topic,importance_mean,newsworthy_mean,familiarity_mean,observedFrequency_mean,desiredFrequency_mean,importance_sd,newsworthy_sd,familiarity_sd,observedFrequency_sd,desiredFrequency_sd
2022 Mass Shootings,5.06896551724138,5.10344827586207,3.72413793103448,3.68965517241379,1.86206896551724,0.961064680548112,0.939027901084296,0.921820858183021,1.46637181690686,0.639427083469172
2022 MLB trade deadline,2.68421052631579,3,2.13513513513514,2.23684210526316,1.60526315789474,1.49060595619465,1.31519189844286,1.35732912086286,1.8950035374183,0.718085806971244
2022 NFL training camp,2.48484848484849,2.48484848484849,2.36363636363636,2.57575757575758,1.48484848484848,1.39465972824046,1.32573593055923,1.08449820822183,1.80330084550358,0.565752381856018
Air travel disruptions,3.84375,3.90625,2.96875,3.21875,1.875,0.954087133371222,0.962502618345831,0.89746506805953,1.69884923100239,0.491869376837965
Amazon's One Medical Deal,4.25806451612903,4.25806451612903,1.87096774193548,1.83870967741935,2.2258064516129,0.893224194906067,0.964978132238718,0.991360529234814,1.15749079747381,0.668813746836135
Celebrity Alcohol Brands,1.78260869565217,1.91304347826087,1.8695652173913,1.91304347826087,1.56521739130435,1.24157238060638,1.04067475830308,0.967863055024125,1.44326156762008,0.727766630709806
Comedians joking about LGBTQ,2.96666666666667,2.93333333333333,2.96666666666667,2.3,1.46666666666667,1.27261157856003,1.22989579971676,1.06619961038982,1.20773369980935,0.507416263404925
First Images from the James Webb Telescope,4.54838709677419,4.74193548387097,3.06451612903226,3.58064516129032,2.19354838709677,1.09052616283515,1.09446309319483,1.20928308985028,1.688671934754,0.654184216599049
Heat Waves,5.06451612903226,5,4.06451612903226,4.41935483870968,2.29032258064516,0.92863641507204,0.966091783079296,0.72734603736084,1.43234524582093,0.642575463121999
Host Selection for ‘Jeopardy!’,2.39393939393939,2.6969696969697,2.5625,2.15151515151515,1.45454545454545,0.998104263697997,1.04537219702029,1.31829557603993,1.27772287980444,0.564076074817766
January 6th attack investigation,4.44117647058824,4.47058823529412,3.85294117647059,4.5,1.88235294117647,1.41830407626959,1.37588085543126,0.988796419932486,1.77951304200522,0.72883077315669
Jennifer Lopez and Ben Affleck's Wedding and Honeymoon,2.36,2.24,2.12,2.72,1.32,1.43990740443035,1.45143607047182,1.12989675044522,1.27540843131393,0.627162924074226
Mark Zuckerberg's Metaverse,2.31034482758621,2.41379310344828,2.58620689655172,2.41379310344828,1.27586206896552,1.10529402280447,1.21058549527876,1.1500696059466,1.47641557688377,0.527565278570064
Musk-Twitter 44-Billion Deal,3.82926829268293,4,3.53658536585366,4.26829268292683,1.68292682926829,0.997557993912891,1.02469507659596,0.897149958914611,1.34209519490799,0.649577723996286
Nancy Pelosi’s Taiwan visit,4.30769230769231,4.15384615384615,2.76923076923077,3.69230769230769,1.76923076923077,1.08698595277881,1.37672968130444,1.45072925958477,2.2229571434327,0.587039508564274
New movie 'DC League of Super-pets',2.90909090909091,2.90909090909091,2.09090909090909,2.22727272727273,1.72727272727273,1.34196341264052,1.41114917402165,1.01929438287525,1.23179382094408,0.631085095901019
Number of kids celebrities have,2.03333333333333,2.13333333333333,2.66666666666667,3.1,1.4,1.29942516026374,1.22427553055374,1.06133726101046,1.3982747990982,0.674664667663206
Prince Harry and Meghan Markle's life story,2.78260869565217,2.69565217391304,2.82608695652174,2.69565217391304,1.47826086956522,1.56543696307948,1.45960089839952,1.07247267026181,1.36297744290998,0.730477130336511
Prince William and Kate Middleton's life story,1.75862068965517,2.03448275862069,2.51724137931035,2.31034482758621,1.24137931034483,0.8304547985374,1.14899827864753,1.05629709210905,1.58347376440583,0.435494170355693
Race to Replace UK Prime Minister Boris Johnson,4.30555555555556,4.55555555555556,2.44444444444444,2.91666666666667,2.13888888888889,0.95077245120389,1.05409255338946,0.876500980178555,1.67971085947212,0.798311710612833
Rising Inflation,5.48648648648649,5.54054054054054,3.89189189189189,5.18918918918919,2.45945945945946,0.650709938008806,0.605282055215886,0.698561370237425,1.19809658852508,0.557504090398278
Roe v. Wade & Abortion Rights,5.17857142857143,4.85714285714286,3.92857142857143,5.25,2.28571428571429,0.862965233777697,1.14549959064563,0.899735410842437,1.64710745337484,0.658682346706236
Stock Market Volatility,3.59259259259259,3.62962962962963,2.59259259259259,2.88888888888889,1.81481481481482,1.00992228411053,1.14851570258674,1.18514066867963,1.82574185835055,0.681459803941116
TikToker made $200k selling farts in jars,1.45161290322581,1.64516129032258,1.67741935483871,1.38709677419355,1.19354838709677,1.12067567944282,1.27928071187873,0.87128628185358,0.615219167172085,0.477448415273642
US Home Prices Potential Correction,4.75862068965517,4.62068965517241,2.75862068965517,2.96551724137931,2.17241379310345,1.05746234022079,1.11527681072101,1.09071314854722,1.61428353459027,0.65840529838832
Vince McMahon’s retirement and scandals,2.64864864864865,2.86486486486487,2.10810810810811,2.27027027027027,1.62162162162162,1.39873387620964,1.37764215161191,1.3288211940535,1.50275023149499,0.720777024827734
Wildfires in California,5,5.07142857142857,3.35714285714286,3.39285714285714,2.25,0.86066296582387,0.899735410842437,0.951189731211342,1.6406702721141,0.518187725171601
WNBA star Brittney Griner in Russian custody,3.68181818181818,3.63636363636364,3.13636363636364,3.54545454545455,1.59090909090909,1.61500003350623,1.52894157431288,1.20694239991391,1.59544807043493,0.734139659030241
